Def Pass Rank,Team,GP_pass_def,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Week,Def Rec Rank,GP_rec_def,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,GP_def,ATT_rush_def,RY_rush_def,YPC_def,RYPG_rush_def,TD_def,FUM_rush_def,FL_rush_def,Off Pass Rank,GP_pass_off,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,GP_rec_off,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,GP_off,ATT_rush_off,RY_rush_off,YPC_off,RYPG_rush_off,TD_off,FUM_rush_off,FL_rush_off,Kick Rank,GP_kicking,FGM,FGA,FG%,FG%_Missing,XPA,XPM,XP%,XP%_Missing,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PYPG_Missing,PB,PR,PRYDS,PRYPG,PRYPG_Missing,Return Rank,GP,KR,KRYDS,KRYPG,KRYPG_Missing,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRYPG_return_Missing,PRLNG,PRT,Win
32,AZ,1,30,39,76.9,360,9.2,360,5,0,0,Week 1,32,1,30,360,9.2,360,5,5,1,22,1,27,128,4.7,128,1,5,1,26,1,38,24,63.2,179,4.7,179,2,0,3,26,1,24,179,4.7,179,2,3,0,17,1,22,103,4.7,103,1,3,0,27,1,0,0,0,1,1,1,100,0,8,1,5,255,51,0,0,1,-1,-1,0,18,17,31,686,22.1,0,44,0,35,289,8.3,0,28,0,0
1,GB,1,7,11,63.6,48,4.4,48,0,1,3,Week 2,1,1,7,48,4.4,48,0,1,0,28,1,27,180,6.7,180,1,1,0,17,1,25,19,76,211,8.4,211,2,0,3,17,1,19,211,8.4,211,2,3,1,1,1,38,203,5.3,203,1,3,1,14,1,2,2,100,0,3,3,100,0,2,1,2,122,61,0,0,3,20,6.7,0,18,1,1,24,24,0,24,0,3,20,6.7,0,20,0,1
2,BUF,1,12,24,50,107,4.5,107,0,2,2,Week 2,2,1,12,107,4.5,107,0,3,2,7,1,27,80,3,80,1,3,2,5,1,40,26,65,313,7.8,313,4,0,1,5,1,26,313,7.8,313,4,0,0,15,1,24,101,4.2,101,0,0,0,13,1,2,2,100,0,5,5,100,0,14,1,3,145,48.3,0,0,4,41,10.3,0,5,1,0,0,0,1,0,0,4,41,10.3,0,16,0,1
3,NYG,1,14,29,48.3,129,4.4,129,1,0,2,Week 2,3,1,14,129,4.4,129,1,3,2,24,1,23,146,6.3,146,0,3,2,27,1,34,22,64.7,162,4.8,162,1,0,3,27,1,22,162,4.8,162,1,0,0,13,1,33,103,3.1,103,0,0,0,1,1,4,4,100,0,1,1,100,0,10,1,5,253,50.6,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
4,NE,1,21,33,63.6,152,4.6,152,1,1,3,Week 2,4,1,21,152,4.6,152,1,1,1,14,1,22,91,4.1,91,0,1,1,10,1,35,21,60,252,7.2,252,1,1,0,10,1,21,252,7.2,252,1,0,0,11,1,31,124,4,124,1,0,0,15,1,1,2,50,0,2,2,100,0,28,1,4,166,41.5,0,0,3,22,7.3,0,14,1,3,85,28.3,0,37,0,3,22,7.3,0,16,0,1
5,DEN,1,19,38,50,154,4.1,154,0,0,3,Week 2,5,1,19,154,4.1,154,0,2,0,9,1,18,80,4.4,80,0,2,0,20,1,31,14,45.2,201,6.5,201,1,1,3,20,1,14,201,6.5,201,1,0,0,8,1,31,149,4.8,149,0,0,0,4,1,3,3,100,0,1,1,100,0,26,1,5,214,42.8,0,0,4,59,14.8,0,28,1,1,17,17,0,17,0,4,59,14.8,0,19,0,1
6,CAR,1,22,34,64.7,162,4.8,162,1,0,3,Week 2,6,1,22,162,4.8,162,1,0,0,20,1,33,103,3.1,103,0,0,0,30,1,29,14,48.3,129,4.4,129,1,0,2,30,1,14,129,4.4,129,1,3,2,9,1,23,146,6.3,146,0,3,2,5,1,3,3,100,0,1,1,100,0,27,1,5,212,42.4,0,0,2,17,8.5,0,16,1,3,75,25,0,36,0,2,17,8.5,0,9,0,0
7,JAX,1,16,30,53.3,164,5.5,164,0,3,5,Week 2,7,1,16,164,5.5,164,0,2,0,2,1,13,54,4.2,54,0,2,0,12,1,30,25,83.3,235,7.8,235,2,0,0,12,1,25,235,7.8,235,2,0,0,16,1,37,96,2.6,96,1,0,0,18,1,1,1,100,0,3,3,100,0,18,1,5,228,45.6,0,0,2,7,3.5,0,8,1,0,0,0,1,0,0,2,7,3.5,0,12,0,1
8,DAL,1,24,36,66.7,165,4.6,165,1,0,6,Week 2,8,1,24,165,4.6,165,1,1,0,12,1,25,89,3.6,89,0,1,0,14,1,31,19,61.3,230,7.4,230,1,0,1,14,1,19,230,7.4,230,1,1,1,12,1,27,107,4,107,1,1,1,11,1,2,2,100,0,2,2,100,0,25,1,5,217,43.4,0,0,2,34,17,0,7,1,0,0,0,1,0,0,2,34,17,0,20,0,1
9,LAR,1,17,26,65.4,171,6.6,171,2,2,3,Week 2,9,1,17,171,6.6,171,2,2,1,13,1,27,90,3.3,90,0,2,1,8,1,36,27,75,272,7.6,272,3,2,1,8,1,27,272,7.6,272,3,1,1,29,1,26,65,2.5,65,1,1,1,24,1,1,1,100,0,4,4,100,0,1,1,0,0,0,1,0,1,-1,-1,0,30,1,1,15,15,0,15,0,1,-1,-1,0,0,0,1
