Kick Rank,Team,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Week,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
9, CIN,1,2,2,100.0,3,3,100.0,week 13,28,1,1,40,40.0,0,1,10,10.0,28,1,2,27,13.5,16,0,1,10,10.0,10,0
10, CLE,1,2,2,100.0,3,3,100.0,week 13,6,1,6,311,51.8,0,3,86,28.7,26,1,3,48,16.0,23,0,3,86,28.7,76,1
11, SEA,1,2,2,100.0,3,3,100.0,week 13,3,1,2,114,57.0,0,0,0,,4,1,0,0,,0,0,0,0,,0,0
12, GB,1,2,2,100.0,2,2,100.0,week 13,19,1,3,134,44.7,0,1,15,15.0,11,1,4,102,25.5,35,0,1,15,15.0,15,0
13, JAX,1,2,2,100.0,0,0,,week 13,16,1,3,137,45.7,0,0,0,,15,1,2,46,23.0,25,0,0,0,,0,0
14, MIN,1,2,2,100.0,3,3,100.0,week 13,12,1,6,292,48.7,0,0,0,,3,1,0,0,,0,0,0,0,,0,0
15, WAS,1,2,3,66.7,2,2,100.0,week 13,21,1,6,265,44.2,0,4,26,6.5,27,1,2,27,13.5,24,0,4,26,6.5,14,0
16, NYG,1,2,3,66.7,2,2,100.0,week 13,13,1,7,324,46.3,0,3,18,6.0,16,1,2,44,22.0,25,0,3,18,6.0,12,0
17, LV,1,2,3,66.7,3,3,100.0,week 13,18,1,4,181,45.3,0,0,0,,5,1,0,0,,0,0,0,0,,0,0
18, LAC,1,2,3,66.7,2,2,100.0,week 13,14,1,3,137,45.7,0,1,23,23.0,23,1,5,89,17.8,21,0,1,23,23.0,23,0
19, CHI,1,2,3,66.7,2,1,50.0,week 13,30,1,1,39,39.0,0,1,18,18.0,9,1,5,142,28.4,42,0,1,18,18.0,18,0
20, HOU,1,2,2,100.0,0,0,,week 13,8,1,7,354,50.6,0,3,42,14.0,7,1,3,92,30.7,50,0,3,42,14.0,20,0
21, IND,1,2,2,100.0,1,1,100.0,week 13,29,1,3,119,39.7,0,1,4,4.0,10,1,8,212,26.5,34,0,1,4,4.0,4,0
22, NE,1,1,2,50.0,1,1,100.0,week 13,25,1,6,251,41.8,0,1,0,0.0,17,1,3,65,21.7,30,0,1,0,0.0,0,0
23, KC,1,1,2,50.0,3,3,100.0,week 13,4,1,1,55,55.0,0,0,0,,14,1,5,116,23.2,44,0,0,0,,0,0
24, BAL,1,1,1,100.0,1,1,100.0,week 13,9,1,6,303,50.5,0,1,3,3.0,19,1,3,62,20.7,23,0,1,3,3.0,3,0
25, MIA,1,1,1,100.0,2,2,100.0,week 13,7,1,4,206,51.5,0,2,21,10.5,25,1,2,34,17.0,25,0,2,21,10.5,14,0
26, TEN,1,1,1,100.0,1,1,100.0,week 13,2,1,7,401,57.3,0,4,42,10.5,20,1,3,62,20.7,22,0,4,42,10.5,19,0
27, TB,1,1,1,100.0,2,2,100.0,week 13,11,1,5,247,49.4,0,2,20,10.0,13,1,1,25,25.0,25,0,2,20,10.0,15,0
28, BUF,1,1,1,100.0,3,3,100.0,week 13,17,1,3,136,45.3,0,2,4,2.0,29,1,2,26,13.0,15,0,2,4,2.0,4,0
29, DAL,1,0,0,,7,6,85.7,week 13,10,1,4,198,49.5,0,0,0,,18,1,3,64,21.3,27,0,0,0,,0,0
30, PHI,1,0,0,,5,5,100.0,week 13,23,1,5,215,43.0,0,6,105,17.5,21,1,2,37,18.5,26,0,6,105,17.5,27,0
1, HOU,1,3,3,100.0,2,2,100.0,week 14,10,1,4,197,49.3,0,3,36,12.0,3,1,0,0,,0,0,3,36,12.0,15,0
2, LAC,1,3,3,100.0,2,2,100.0,week 14,20,1,4,176,44.0,0,2,23,11.5,5,1,0,0,,0,0,2,23,11.5,23,0
3, LV,1,3,3,100.0,1,1,100.0,week 14,11,1,3,148,49.3,0,0,0,,26,1,1,15,15.0,15,0,0,0,,0,0
4, BAL,1,3,3,100.0,1,1,100.0,week 14,22,1,3,124,41.3,0,1,9,9.0,24,1,3,58,19.3,22,0,1,9,9.0,9,0
5, CAR,1,3,3,100.0,3,3,100.0,week 14,3,1,2,107,53.5,0,3,16,5.3,15,1,1,24,24.0,24,0,3,16,5.3,11,0
6, JAX,1,3,3,100.0,3,3,100.0,week 14,19,1,3,133,44.3,0,3,20,6.7,20,1,2,42,21.0,31,0,3,20,6.7,9,0
7, PHI,1,2,2,100.0,6,6,100.0,week 14,26,1,1,35,35.0,0,4,29,7.3,7,1,3,117,39.0,66,0,4,29,7.3,16,0
8, KC,1,2,2,100.0,4,4,100.0,week 14,1,1,3,199,66.3,0,4,22,5.5,6,1,0,0,,0,0,4,22,5.5,7,0
9, AZ,1,2,3,66.7,1,1,100.0,week 14,12,1,2,97,48.5,0,2,17,8.5,13,1,5,134,26.8,30,0,2,17,8.5,17,0
10, DET,1,2,3,66.7,4,4,100.0,week 14,13,1,2,96,48.0,0,2,48,24.0,21,1,1,21,21.0,21,0,2,48,24.0,35,0
11, NE,1,2,2,100.0,3,3,100.0,week 14,21,1,6,253,42.2,0,1,7,7.0,16,1,2,47,23.5,25,0,1,7,7.0,7,0
12, DAL,1,2,2,100.0,3,3,100.0,week 14,5,1,3,157,52.3,0,2,9,4.5,12,1,1,27,27.0,27,0,2,9,4.5,9,0
13, BUF,1,2,2,100.0,2,2,100.0,week 14,9,1,7,347,49.6,0,3,42,14.0,22,1,2,40,20.0,21,0,3,42,14.0,23,0
14, LAR,1,1,2,50.0,2,2,100.0,week 14,7,1,3,156,52.0,0,1,0,0.0,25,1,4,73,18.3,24,0,1,0,0.0,0,0
15, NYJ,1,1,1,100.0,1,1,100.0,week 14,17,1,7,311,44.4,0,2,23,11.5,17,1,4,88,22.0,24,0,2,23,11.5,13,0
16, MIA,1,1,1,100.0,2,2,100.0,week 14,15,1,7,327,46.7,0,0,0,,2,1,0,0,,0,0,0,0,,0,0
17, MIN,1,1,1,100.0,2,2,100.0,week 14,4,1,3,159,53.0,0,1,9,9.0,4,1,0,0,,0,0,1,9,9.0,9,0
18, CLE,1,1,1,100.0,1,1,100.0,week 14,2,1,4,220,55.0,0,3,15,5.0,18,1,4,87,21.8,29,0,3,15,5.0,8,0
19, SEA,1,1,1,100.0,3,3,100.0,week 14,18,1,4,177,44.3,0,0,0,,8,1,3,104,34.7,50,0,0,0,,0,0
20, CIN,1,1,1,100.0,3,2,66.7,week 14,23,1,5,205,41.0,0,3,14,4.7,1,1,0,0,,0,0,3,14,4.7,7,0
21, PIT,1,0,1,0.0,2,2,100.0,week 14,25,1,3,111,37.0,0,2,0,0.0,9,1,1,29,29.0,29,0,2,0,0.0,0,0
22, TB,1,0,1,0.0,1,1,100.0,week 14,6,1,3,157,52.3,0,2,21,10.5,19,1,6,130,21.7,54,0,2,21,10.5,11,0
23, NYG,1,0,0,,2,2,100.0,week 14,24,1,6,241,40.2,0,0,0,,23,1,3,58,19.3,20,0,0,0,,0,0
24, DEN,1,0,0,,4,4,100.0,week 14,14,1,7,333,47.6,0,1,21,21.0,10,1,1,29,29.0,29,0,1,21,21.0,21,0
25, SF,1,0,0,,5,5,100.0,week 14,16,1,3,134,44.7,0,3,43,14.3,11,1,2,54,27.0,30,0,3,43,14.3,15,0
26, TEN,1,0,0,,2,2,100.0,week 14,8,1,3,150,50.0,0,3,4,1.3,14,1,3,76,25.3,33,0,3,4,1.3,4,0
1, IND,1,5,5,100.0,3,3,100.0,week 15,22,1,7,305,43.6,0,1,0,0.0,5,1,5,175,35.0,49,0,1,0,0.0,0,0
2, NE,1,3,3,100.0,1,1,100.0,week 15,16,1,5,226,45.2,0,3,25,8.3,3,1,0,0,,0,0,3,25,8.3,17,0
3, AZ,1,3,3,100.0,0,0,,week 15,7,1,6,299,49.8,0,2,11,5.5,19,1,1,23,23.0,23,0,2,11,5.5,8,0
