Def Pass Rank,Team,GP,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD,INT,SCK,Week
3, TEN,1,17,30,56.7,118,3.9,118,1,1,3,week 8
4, DAL,1,18,24,75,131,5.5,131,2,0,4,week 8
5, NO,1,23,39,59,145,3.7,145,0,1,4,week 8
6, SEA,1,17,31,54.8,147,4.7,147,0,0,5,week 8
7, PHI,1,27,40,67.5,156,3.9,156,1,1,6,week 8
8, NYJ,1,24,35,68.6,161,4.6,161,1,1,6,week 8
9, SF,1,22,33,66.7,167,5.1,167,1,0,2,week 8
10, WAS,1,17,23,73.9,189,8.2,189,0,0,2,week 8
11, NYG,1,23,34,67.6,190,5.6,190,2,0,3,week 8
12, BUF,1,19,30,63.3,190,6.3,190,2,1,2,week 8
13, CLE,1,25,35,71.4,193,5.5,193,2,1,5,week 8
14, AZ,1,24,36,66.7,208,5.8,208,2,0,3,week 8
15, GB,1,13,25,52,216,8.6,216,2,2,2,week 8
16, TB,1,27,38,71.1,222,5.8,222,2,0,3,week 8
17, JAX,1,18,30,60,230,7.7,230,1,1,3,week 8
18, LV,1,23,31,74.2,231,7.5,231,2,0,0,week 8
19, CAR,1,20,28,71.4,239,8.5,239,3,2,2,week 8
20, CHI,1,21,27,77.8,242,9,242,2,1,1,week 8
21, LAR,1,22,26,84.6,257,9.9,257,3,0,3,week 8
22, IND,1,23,31,74.2,266,8.6,266,1,1,2,week 8
23, CIN,1,17,23,73.9,268,11.7,268,1,1,2,week 8
24, PIT,1,20,30,66.7,290,9.7,290,4,0,3,week 8
25, MIN,1,31,44,70.5,297,6.8,297,3,2,4,week 8
26, BAL,1,26,44,59.1,305,6.9,305,1,0,3,week 8
27, ATL,1,19,36,52.8,309,8.6,309,1,1,1,week 8
28, MIA,1,27,37,73,311,8.4,311,1,0,1,week 8
29, NE,1,20,41,48.8,336,8.2,336,2,3,2,week 8
30, DET,1,29,36,80.6,369,10.3,369,3,0,2,week 8
1, NE,1,15,29,51.7,43,1.5,43,0,1,9,week 9
2, KC,1,5,16,31.3,57,3.6,57,0,0,3,week 9
3, LAC,1,12,23,52.2,114,5,114,0,0,2,week 9
4, MIA,1,17,28,60.7,116,4.1,116,3,0,2,week 9
5, MIN,1,15,28,53.6,126,4.5,126,2,1,3,week 9
6, NO,1,12,22,54.5,131,6,131,1,0,3,week 9
7, IND,1,20,30,66.7,133,4.4,133,1,0,4,week 9
8, PHI,1,13,22,59.1,135,6.1,135,2,2,3,week 9
9, BUF,1,18,25,72,136,5.4,136,1,0,2,week 9
10, GB,1,14,26,53.8,137,5.3,137,2,1,0,week 9
11, TB,1,13,27,48.1,138,5.1,138,1,0,4,week 9
12, SEA,1,25,35,71.4,140,4,140,2,0,5,week 9
13, CIN,1,17,30,56.7,164,5.5,164,2,2,0,week 9
14, NYJ,1,18,34,52.9,183,5.4,183,0,2,5,week 9
15, BAL,1,20,30,66.7,195,6.5,195,1,1,4,week 9
16, HOU,1,21,27,77.8,217,8,217,2,0,4,week 9
17, CAR,1,25,31,80.6,223,7.2,223,1,0,2,week 9
18, LV,1,25,31,80.6,235,7.6,235,1,0,0,week 9
19, WAS,1,23,41,56.1,245,6,245,2,1,2,week 9
20, ATL,1,30,43,69.8,245,5.7,245,1,1,0,week 9
21, JAX,1,21,36,58.3,248,6.9,248,2,0,2,week 9
22, AZ,1,26,34,76.5,263,7.7,263,2,1,2,week 9
23, LAR,1,36,58,62.1,272,4.7,272,1,0,1,week 9
24, DET,1,23,43,53.5,283,6.6,283,1,3,1,week 9
25, CHI,1,21,30,70,302,10.1,302,3,0,0,week 9
26, TEN,1,43,68,63.2,422,6.2,422,1,1,4,week 9
1, ATL,1,10,16,62.5,101,6.3,101,0,0,1,week 10
2, DET,1,12,20,60,150,7.5,150,2,1,3,week 10
3, CAR,1,19,30,63.3,153,5.1,153,2,1,5,week 10
4, PIT,1,17,28,60.7,157,5.6,157,1,2,2,week 10
5, NO,1,18,30,60,162,5.4,162,0,0,6,week 10
6, WAS,1,17,26,65.4,170,6.5,170,2,1,1,week 10
7, HOU,1,13,17,76.5,176,10.4,176,2,0,3,week 10
