Def Rush Rank,Team,GP,ATT,RY,YPC,RYPG,TD,FUM,FL,Week
30, DEN,1,38,212,5.6,212,2,0,0,week 4
31, DET,1,33,235,7.1,235,3,1,1,week 4
32, CHI,1,44,262,6,262,2,2,1,week 4
1, DAL,1,15,38,2.5,38,0,2,2,week 5
2, TEN,1,17,43,2.5,43,0,3,0,week 5
3, BUF,1,17,54,3.2,54,0,1,1,week 5
4, SF,1,17,64,3.8,64,1,2,0,week 5
5, ATL,1,23,69,3,69,1,0,0,week 5
6, MIN,1,24,78,3.3,78,1,3,1,week 5
7, NYG,1,20,94,4.7,94,0,2,0,week 5
8, NE,1,27,101,3.7,101,0,1,1,week 5
9, BAL,1,21,101,4.8,101,1,0,0,week 5
10, LV,1,23,103,4.5,103,0,0,0,week 5
11, WAS,1,32,105,3.3,105,2,0,0,week 5
12, DEN,1,26,106,4.1,106,0,4,0,week 5
13, JAX,1,31,116,3.7,116,1,0,0,week 5
14, CHI,1,31,117,3.8,117,3,1,0,week 5
15, PIT,1,18,120,6.7,120,1,2,1,week 5
16, PHI,1,26,124,4.8,124,1,0,0,week 5
17, GB,1,31,125,4,125,3,1,0,week 5
18, IND,1,28,125,4.5,125,0,2,0,week 5
19, MIA,1,33,135,4.1,135,5,0,0,week 5
20, HOU,1,26,136,5.2,136,0,0,0,week 5
21, NYJ,1,26,137,5.3,137,2,1,1,week 5
22, AZ,1,33,139,4.2,139,2,1,0,week 5
23, NO,1,21,151,7.2,151,1,2,1,week 5
24, TB,1,31,151,4.9,151,1,1,0,week 5
25, CAR,1,29,153,5.3,153,2,2,1,week 5
26, CIN,1,28,155,5.5,155,0,1,0,week 5
27, KC,1,24,155,6.5,155,1,1,0,week 5
28, LAR,1,34,163,4.8,163,1,2,0,week 5
29, DET,1,35,176,5,176,0,1,0,week 5
30, LAC,1,31,213,6.9,213,3,0,0,week 5
31, SEA,1,48,235,4.9,235,3,3,1,week 5
32, CLE,1,34,238,7,238,2,0,0,week 5
1, JAX,1,16,45,2.8,45,1,2,0,week 6
2, ATL,1,16,50,3.1,50,0,1,1,week 6
3, NYJ,1,20,60,3,60,0,2,1,week 6
4, BUF,1,18,68,3.8,68,0,1,0,week 6
5, NE,1,18,70,3.9,70,0,3,2,week 6
6, DEN,1,24,73,3,73,1,0,0,week 6
7, MIN,1,20,73,3.7,73,0,2,1,week 6
8, PIT,1,26,75,2.9,75,0,1,0,week 6
9, NO,1,14,75,5.4,75,1,1,1,week 6
10, TB,1,29,77,2.7,77,0,1,0,week 6
11, MIA,1,17,78,4.6,78,1,1,0,week 6
12, BAL,1,31,83,2.7,83,1,1,1,week 6
13, LAR,1,21,93,4.4,93,0,0,0,week 6
14, CLE,1,29,98,3.4,98,3,1,1,week 6
15, LAC,1,23,98,4.3,98,0,3,1,week 6
16, CAR,1,29,111,3.8,111,2,0,0,week 6
17, KC,1,31,125,4,125,0,1,1,week 6
18, CHI,1,28,128,4.6,128,1,1,0,week 6
