Def Rec Rank,Team,GP,REC,RY,YP,RYPG,TD,FUM,FL,Week
25, CHI,1,21,302,10.1,302,3,1,0,week 9
26, TEN,1,43,422,6.2,422,1,0,0,week 9
1, ATL,1,10,101,6.3,101,0,0,0,week 10
2, DET,1,12,150,7.5,150,2,1,0,week 10
3, CAR,1,19,153,5.1,153,2,0,0,week 10
4, PIT,1,17,157,5.6,157,1,2,0,week 10
5, NO,1,18,162,5.4,162,0,1,0,week 10
6, WAS,1,17,170,6.5,170,2,3,3,week 10
7, HOU,1,13,176,10.4,176,2,0,0,week 10
8, PHI,1,17,178,6.1,178,0,2,1,week 10
9, MIA,1,22,185,5.3,185,1,1,1,week 10
10, SF,1,21,187,5.1,187,1,1,0,week 10
11, AZ,1,25,190,5.1,190,1,2,1,week 10
12, LV,1,21,208,7.4,208,1,2,1,week 10
13, DAL,1,14,208,10.4,208,3,3,2,week 10
14, LAR,1,26,220,5.9,220,1,3,0,week 10
15, CHI,1,19,228,8.8,228,1,1,0,week 10
16, LAC,1,19,230,8.2,230,0,1,1,week 10
17, IND,1,24,232,6.1,232,2,1,0,week 10
18, KC,1,29,240,6,240,2,0,0,week 10
19, TB,1,23,244,7.4,244,2,1,1,week 10
20, DEN,1,19,244,6.8,244,2,2,1,week 10
21, TEN,1,21,248,5.9,248,1,3,0,week 10
22, SEA,1,22,258,8.6,258,2,0,0,week 10
23, GB,1,27,262,5.7,262,3,1,0,week 10
24, NYG,1,22,286,7.7,286,1,2,1,week 10
25, CLE,1,26,296,9,296,3,1,0,week 10
26, MIN,1,29,311,7.2,311,1,3,2,week 10
27, JAX,1,26,331,9.5,331,4,3,2,week 10
28, BUF,1,30,334,6.7,334,1,2,0,week 10
1, NE,1,9,44,2,44,0,1,0,week 11
2, DAL,1,17,110,3.7,110,0,2,1,week 11
3, WAS,1,19,127,3.8,127,0,0,0,week 11
4, ATL,1,14,128,6.1,128,1,2,0,week 11
5, CHI,1,13,131,6.6,131,1,2,2,week 11
6, NYG,1,17,165,6.3,165,0,2,0,week 11
7, BAL,1,21,169,5.1,169,0,2,1,week 11
8, IND,1,18,173,6.9,173,1,4,2,week 11
9, PHI,1,23,185,5.8,185,0,2,1,week 11
10, CLE,1,18,186,6.9,186,1,0,0,week 11
11, NO,1,16,188,6.7,188,2,0,0,week 11
12, HOU,1,15,191,7.1,191,0,1,0,week 11
13, CAR,1,24,193,5.8,193,0,0,0,week 11
14, NYJ,1,23,198,7.3,198,0,1,0,week 11
15, TEN,1,24,215,5.5,215,2,1,0,week 11
16, LV,1,24,226,7.3,226,0,2,0,week 11
17, AZ,1,20,228,7.9,228,4,0,0,week 11
18, LAR,1,22,235,8.4,235,3,0,0,week 11
19, SF,1,30,247,5.6,247,0,1,0,week 11
20, CIN,1,25,249,5.9,249,1,1,0,week 11
21, KC,1,23,250,8.3,250,2,1,1,week 11
22, DEN,1,23,298,8.1,298,2,0,0,week 11
23, MIN,1,26,307,10.2,307,2,1,0,week 11
24, BUF,1,28,316,7.7,316,3,1,1,week 11
25, GB,1,24,320,11,320,3,0,0,week 11
26, LAC,1,20,322,9.5,322,3,2,1,week 11
27, DET,1,27,324,7.4,324,1,2,1,week 11
28, PIT,1,24,346,8.9,346,4,0,0,week 11
1, KC,1,14,82,3.4,82,1,0,0,week 12
2, CAR,1,19,125,3.6,125,1,2,2,week 12
3, GB,1,16,137,4.9,137,2,2,1,week 12
4, ATL,1,14,138,6,138,2,0,0,week 12
5, IND,1,20,151,5.4,151,0,0,0,week 12
6, DEN,1,11,164,8.6,164,1,2,1,week 12
7, WAS,1,15,165,6.6,165,1,0,0,week 12
8, NYJ,1,14,165,6.6,165,1,2,0,week 12
9, MIA,1,26,174,4.5,174,1,3,1,week 12
10, TB,1,23,178,4.8,178,1,0,0,week 12
11, PIT,1,22,180,5.3,180,1,3,1,week 12
12, LAC,1,18,185,6.4,185,2,1,1,week 12
13, SF,1,18,197,6.6,197,0,2,2,week 12
14, DAL,1,21,210,6,210,1,1,0,week 12
15, NO,1,26,221,6,221,1,0,0,week 12
16, CLE,1,29,229,5.3,229,2,0,0,week 12
17, BUF,1,23,230,6.2,230,2,4,2,week 12
18, PHI,1,17,236,9.4,236,3,0,0,week 12
19, DET,1,24,237,5.6,237,2,1,0,week 12
20, AZ,1,35,246,5.2,246,3,1,0,week 12
21, JAX,1,16,253,7.9,253,1,3,2,week 12
22, NYG,1,21,261,8.7,261,2,1,0,week 12
23, TEN,1,22,266,7.2,266,1,0,0,week 12
24, HOU,1,23,273,6.7,273,1,1,1,week 12
25, CIN,1,22,281,8.3,281,0,1,0,week 12
26, SEA,1,25,293,8.1,293,3,1,0,week 12
